$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
0,1,1,1,1,0,1,1,1,1,92,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,92,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,92,4156.67382812,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,91,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,91,4156.67382812,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,91,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,90,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,90,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,90,4156.67382812,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,89,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,89,4156.66601562,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,89,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,88,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,88,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,88,4156.40820312,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,87,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,87,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,87,4153.09179688,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,86,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,86,4133.48242188,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,86,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,85,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,85,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,85,4079.66992188,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,84,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,84,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,84,4036.63867188,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,83,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,83,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,83,4026.49023438,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,82,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,82,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,82,4025.65332031,1,3,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,81,4025.62792969,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,81,4025.53833008,1,3,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,81,3214.53808594,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,80,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,80,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,80,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,79,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,79,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,79,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,79,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,79,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,79,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,79,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,79,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,79,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,79,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,78,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,78,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,78,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,78,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,78,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,78,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,78,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,78,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,78,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,78,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,78,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,77,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,77,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,77,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,77,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,77,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,77,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,77,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,77,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,77,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,77,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,77,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,76,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,76,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,76,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,76,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,76,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,76,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,76,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,76,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,76,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,76,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,76,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,75,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,75,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,75,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,75,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,75,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,75,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,75,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,75,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,75,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,75,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,75,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,74,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
