,Opt. Politic,from,to,Revenue,Cum_Rev
10,4,10,15992,220,220
9,4,15992,31974,220,440
8,4,31974,47956,220,660
7,4,47956,63938,220,880
6,4,63938,79920,220,1100
5,4,79920,95902,220,1320
4,4,95902,111884,220,1540
3,4,111884,127866,220,1760
2,4,127866,143848,220,1980
1,4,143848,159830,220,2200
0,0,0,0,0,2200
