,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
10,1401.0,"[16102, 1351, 9, 14771, 1461, 15992]",10,10,10,10,10,0,9,0.0
16102,1269.0,"[32194, 17443, 16101, 30863, 17553, 32084]",9,9,9,10,9,4,32084,220.0
32194,1142.0,"[32193, 46955, 33645, 48176, 48286, 33535]",8,8,8,10,8,4,48176,220.0
48286,990.0,"[63047, 49737, 64268, 64378, 49627, 48285]",7,7,7,10,7,4,64268,220.0
64378,918.0,"[79139, 65829, 80360, 80470, 65719, 64377]",6,6,6,10,6,4,80360,220.0
80470,764.0,"[81921, 96452, 96562, 81811, 80469, 95231]",5,5,5,10,5,3,96562,200.0
96562,599.0,"[112544, 112654, 97903, 96561, 111323, 98013]",4,4,4,10,4,3,112654,200.0
112654,422.0,"[128746, 113995, 112653, 127415, 114105, 128636]",3,3,3,10,3,1,127415,100.0
128746,267.0,"[144838, 130087, 128745, 143507, 130197, 144728]",2,2,2,10,2,4,144728,220.0
144838,145.0,"[160930, 146179, 144837, 159599, 146289, 160820]",1,1,1,10,1,4,160820,220.0
160930,0.0,['end'],0,0,0,10,0,0,0,0.0
1351,1269.0,"[17443, 2692, 1350, 16112, 2802, 17333]",10,9,10,9,9,4,17333,220.0
2692,1142.0,"[18784, 4033, 2691, 17453, 4143, 18674]",10,8,10,8,8,4,18674,220.0
4033,990.0,"[4032, 18794, 5484, 20015, 20125, 5374]",10,7,10,7,7,4,20015,220.0
5374,918.0,"[20135, 6825, 21356, 21466, 6715, 5373]",10,6,10,6,6,4,21356,220.0
6715,764.0,"[21476, 8166, 22697, 22807, 8056, 6714]",10,5,10,5,5,3,22807,200.0
8056,599.0,"[22817, 9507, 24038, 24148, 9397, 8055]",10,4,10,4,4,3,24148,200.0
9397,422.0,"[10848, 25379, 25489, 10738, 9396, 24158]",10,3,10,3,3,1,24158,100.0
10738,267.0,"[26720, 26830, 12079, 10737, 25499, 12189]",10,2,10,2,2,4,26720,220.0
12079,145.0,"[28171, 13420, 12078, 26840, 13530, 28061]",10,1,10,1,1,4,28061,220.0
13420,0.0,['end'],10,0,10,0,0,0,0,0.0
14771,1269.0,"[30753, 30863, 16112, 14770, 29532, 16222]",9,10,9,10,9,4,30753,220.0
30863,1142.0,"[46955, 32204, 30862, 45624, 32314, 46845]",8,9,8,10,8,4,46845,220.0
46955,990.0,"[63047, 48296, 46954, 61716, 48406, 62937]",7,8,7,10,7,4,62937,220.0
63047,918.0,"[79139, 64388, 63046, 77808, 64498, 79029]",6,7,6,10,6,4,79029,220.0
79139,764.0,"[80480, 79138, 93900, 80590, 95121, 95231]",5,6,5,10,5,3,95231,200.0
95231,599.0,"[109992, 96682, 111213, 111323, 96572, 95230]",4,5,4,10,4,3,111323,200.0
111323,422.0,"[126084, 112774, 127305, 127415, 112664, 111322]",3,4,3,10,3,1,126084,100.0
127415,267.0,"[142176, 128866, 143397, 143507, 128756, 127414]",2,3,2,10,2,4,143397,220.0
143507,145.0,"[159489, 159599, 144848, 143506, 158268, 144958]",1,2,1,10,1,4,159489,220.0
159599,0.0,['end'],0,1,0,10,0,0,0,0.0
16112,1142.0,"[32204, 17453, 16111, 30873, 17563, 32094]",9,9,9,9,8,4,32094,220.0
17453,990.0,"[33545, 18794, 17452, 32214, 18904, 33435]",9,8,9,8,7,4,33435,220.0
18794,918.0,"[34886, 20135, 18793, 33555, 20245, 34776]",9,7,9,7,6,4,34776,220.0
20135,764.0,"[36227, 21476, 20134, 34896, 21586, 36117]",9,6,9,6,5,3,36227,200.0
21476,599.0,"[37568, 22817, 21475, 36237, 22927, 37458]",9,5,9,5,4,3,37568,200.0
22817,422.0,"[22816, 37578, 24268, 38799, 38909, 24158]",9,4,9,4,3,1,37578,100.0
24158,267.0,"[38919, 25609, 40140, 40250, 25499, 24157]",9,3,9,3,2,4,40140,220.0
25499,145.0,"[40260, 26950, 41481, 41591, 26840, 25498]",9,2,9,2,1,4,41481,220.0
26840,0.0,['end'],9,1,9,1,0,0,0,0.0
29532,1142.0,"[44293, 30983, 45514, 45624, 30873, 29531]",8,10,8,10,8,4,45514,220.0
44293,990.0,"[60385, 45634, 44292, 59054, 45744, 60275]",7,10,7,10,7,4,60275,220.0
59054,918.0,"[75146, 60395, 59053, 73815, 60505, 75036]",6,10,6,10,6,4,75036,220.0
45624,990.0,"[60385, 47075, 61606, 61716, 46965, 45623]",7,9,7,10,7,4,61606,220.0
60385,918.0,"[60384, 75146, 61836, 76367, 76477, 61726]",6,9,6,10,6,4,76367,220.0
75146,764.0,"[91238, 76487, 75145, 89907, 76597, 91128]",5,9,5,10,5,3,91238,200.0
61716,918.0,"[77698, 77808, 63057, 61715, 76477, 63167]",6,8,6,10,6,4,77698,220.0
77808,764.0,"[93900, 79149, 77807, 92569, 79259, 93790]",5,7,5,10,5,3,93900,200.0
93900,599.0,"[109992, 95241, 93899, 108661, 95351, 109882]",4,6,4,10,4,3,109992,200.0
109992,422.0,"[126084, 111333, 109991, 124753, 111443, 125974]",3,5,3,10,3,1,124753,100.0
126084,267.0,"[142176, 127425, 126083, 140845, 127535, 142066]",2,4,2,10,2,4,142066,220.0
142176,145.0,"[156937, 143627, 158158, 158268, 143517, 142175]",1,3,1,10,1,4,158158,220.0
158268,0.0,['end'],0,2,0,10,0,0,0,0.0
76477,764.0,"[91238, 77928, 92459, 92569, 77818, 76476]",5,8,5,10,5,3,92569,200.0
91238,599.0,"[107330, 92579, 91237, 105999, 92689, 107220]",4,8,4,10,4,3,107330,200.0
92569,599.0,"[107330, 94020, 108551, 108661, 93910, 92568]",4,7,4,10,4,3,108661,200.0
107330,422.0,"[107329, 122091, 108781, 123312, 123422, 108671]",3,7,3,10,3,1,122091,100.0
108661,422.0,"[110112, 124643, 124753, 110002, 108660, 123422]",3,6,3,10,3,1,123422,100.0
124753,267.0,"[140845, 126094, 124752, 139514, 126204, 140735]",2,5,2,10,2,4,140735,220.0
140845,145.0,"[156937, 142186, 140844, 155606, 142296, 156827]",1,4,1,10,1,4,156827,220.0
156937,0.0,['end'],0,3,0,10,0,0,0,0.0
123422,267.0,"[138183, 124873, 139404, 139514, 124763, 123421]",2,6,2,10,2,4,139404,220.0
139514,145.0,"[154275, 140965, 155496, 155606, 140855, 139513]",1,5,1,10,1,4,155496,220.0
155606,0.0,['end'],0,4,0,10,0,0,0,0.0
30873,990.0,"[45634, 32324, 46855, 46965, 32214, 30872]",8,9,8,9,7,4,46855,220.0
45634,918.0,"[45633, 60395, 47085, 61616, 61726, 46975]",7,9,7,9,6,4,61616,220.0
60395,764.0,"[76487, 61736, 60394, 75156, 61846, 76377]",6,9,6,9,5,3,76487,200.0
32214,918.0,"[33665, 48196, 48306, 33555, 32213, 46975]",8,8,8,8,6,4,48196,220.0
33555,764.0,"[49537, 49647, 34896, 33554, 48316, 35006]",8,7,8,7,5,3,49647,200.0
34896,599.0,"[50988, 36237, 34895, 49657, 36347, 50878]",8,6,8,6,4,3,50988,200.0
36237,422.0,"[52329, 37578, 36236, 50998, 37688, 52219]",8,5,8,5,3,1,50998,100.0
37578,267.0,"[53670, 38919, 37577, 52339, 39029, 53560]",8,4,8,4,2,4,53560,220.0
38919,145.0,"[55011, 40260, 38918, 53680, 40370, 54901]",8,3,8,3,1,4,54901,220.0
40260,0.0,['end'],8,2,8,2,0,0,0,0.0
46975,764.0,"[61736, 48426, 62957, 63067, 48316, 46974]",7,8,7,8,5,3,63067,200.0
61736,599.0,"[77828, 63077, 61735, 76497, 63187, 77718]",6,8,6,8,4,3,77828,200.0
48316,599.0,"[63077, 49767, 64298, 64408, 49657, 48315]",7,7,7,7,4,3,64408,200.0
63077,422.0,"[79169, 64418, 63076, 77838, 64528, 79059]",6,7,6,7,3,1,77838,100.0
49657,422.0,"[64418, 51108, 65639, 65749, 50998, 49656]",7,6,7,6,3,1,64418,100.0
64418,267.0,"[64417, 79179, 65869, 80400, 80510, 65759]",6,6,6,6,2,4,80400,220.0
50998,267.0,"[52449, 66980, 67090, 52339, 50997, 65759]",7,5,7,5,2,4,66980,220.0
52339,145.0,"[68321, 68431, 53680, 52338, 67100, 53790]",7,4,7,4,1,4,68321,220.0
53680,0.0,['end'],7,3,7,3,0,0,0,0.0
1461,1269.0,"[2912, 17443, 17553, 2802, 1460, 16222]",10,9,9,10,9,4,17443,220.0
2912,1142.0,"[17673, 4363, 18894, 19004, 4253, 2911]",10,8,8,10,8,4,18894,220.0
4363,990.0,"[20455, 5704, 4362, 19124, 5814, 20345]",10,7,7,10,7,4,20345,220.0
5814,918.0,"[7265, 21796, 21906, 7155, 5813, 20575]",10,6,6,10,6,4,21796,220.0
7265,764.0,"[7264, 22026, 8716, 23247, 23357, 8606]",10,5,5,10,5,3,23357,200.0
8716,599.0,"[24808, 10057, 8715, 23477, 10167, 24698]",10,4,4,10,4,3,24808,200.0
10167,422.0,"[24928, 11618, 26149, 26259, 11508, 10166]",10,3,3,10,3,1,24928,100.0
11618,267.0,"[11617, 26379, 13069, 27600, 27710, 12959]",10,2,2,10,2,4,27600,220.0
13069,145.0,"[29161, 14410, 13068, 27830, 14520, 29051]",10,1,1,10,1,4,29051,220.0
14520,0.0,['end'],10,0,0,10,0,0,0,0.0
17553,1142.0,"[33645, 18894, 17552, 32314, 19004, 33535]",9,8,8,10,8,4,33535,220.0
33645,990.0,"[49737, 34986, 33644, 48406, 35096, 49627]",8,7,7,10,7,4,49627,220.0
49737,918.0,"[65829, 51078, 49736, 64498, 51188, 65719]",7,6,6,10,6,4,65719,220.0
65829,764.0,"[81921, 67170, 65828, 80590, 67280, 81811]",6,5,5,10,5,3,81921,200.0
81921,599.0,"[81920, 96682, 83372, 97903, 98013, 83262]",5,4,4,10,4,3,98013,200.0
98013,422.0,"[112774, 99464, 113995, 114105, 99354, 98012]",4,3,3,10,3,1,112774,100.0
114105,267.0,"[128866, 115556, 130087, 130197, 115446, 114104]",3,2,2,10,2,4,130087,220.0
130197,145.0,"[131648, 146179, 146289, 131538, 130196, 144958]",2,1,1,10,1,4,146179,220.0
146289,0.0,['end'],1,0,0,10,0,0,0,0.0
19004,990.0,"[33765, 20455, 34986, 35096, 20345, 19003]",9,7,7,10,7,4,34986,220.0
20455,918.0,"[36547, 21796, 20454, 35216, 21906, 36437]",9,6,6,10,6,4,36437,220.0
21906,764.0,"[37888, 37998, 23247, 21905, 36667, 23357]",9,5,5,10,5,3,37998,200.0
23357,599.0,"[38118, 24808, 39339, 39449, 24698, 23356]",9,4,4,10,4,3,39449,200.0
35096,918.0,"[49857, 36547, 51078, 51188, 36437, 35095]",8,6,6,10,6,4,51078,220.0
36547,764.0,"[37888, 36546, 51308, 37998, 52529, 52639]",8,5,5,10,5,3,52639,200.0
37998,599.0,"[54090, 39339, 37997, 52759, 39449, 53980]",8,4,4,10,4,3,54090,200.0
39449,422.0,"[54210, 40900, 55431, 55541, 40790, 39448]",8,3,3,10,3,1,54210,100.0
51188,764.0,"[67170, 67280, 52529, 51187, 65949, 52639]",7,5,5,10,5,3,67280,200.0
67280,599.0,"[83372, 68621, 67279, 82041, 68731, 83262]",6,4,4,10,4,3,83372,200.0
83372,422.0,"[99464, 84713, 83371, 98133, 84823, 99354]",5,3,3,10,3,1,98133,100.0
99464,267.0,"[115556, 100805, 99463, 114225, 100915, 115446]",4,2,2,10,2,4,115446,220.0
115556,145.0,"[131648, 116897, 115555, 130317, 117007, 131538]",3,1,1,10,1,4,131538,220.0
131648,0.0,['end'],2,0,0,10,0,0,0,0.0
52639,599.0,"[67400, 54090, 68621, 68731, 53980, 52638]",7,4,4,10,4,3,68731,200.0
54090,422.0,"[70182, 55431, 54089, 68851, 55541, 70072]",7,3,3,10,3,1,68851,100.0
55541,267.0,"[56992, 71523, 71633, 56882, 55540, 70302]",7,2,2,10,2,4,71523,220.0
68731,422.0,"[83492, 70182, 84713, 84823, 70072, 68730]",6,3,3,10,3,1,83492,100.0
70182,267.0,"[86274, 71523, 70181, 84943, 71633, 86164]",6,2,2,10,2,4,86164,220.0
71633,145.0,"[87725, 72974, 71632, 86394, 73084, 87615]",6,1,1,10,1,4,87615,220.0
84823,267.0,"[99584, 86274, 100805, 100915, 86164, 84822]",5,2,2,10,2,4,100805,220.0
86274,145.0,"[86273, 101035, 87725, 102256, 102366, 87615]",5,1,1,10,1,4,102256,220.0
87725,0.0,['end'],5,0,0,10,0,0,0,0.0
100915,145.0,"[116897, 117007, 102256, 100914, 115676, 102366]",4,1,1,10,1,4,116897,220.0
117007,0.0,['end'],3,0,0,10,0,0,0,0.0
102366,0.0,['end'],4,0,0,10,0,0,0,0.0
2802,1142.0,"[18784, 18894, 4143, 2801, 17563, 4253]",10,8,9,9,8,4,18784,220.0
4143,990.0,"[20235, 5484, 4142, 18904, 5594, 20125]",10,7,9,8,7,4,20125,220.0
5484,918.0,"[21576, 6825, 5483, 20245, 6935, 21466]",10,6,9,7,6,4,21466,220.0
6825,764.0,"[22917, 8166, 6824, 21586, 8276, 22807]",10,5,9,6,5,3,22917,200.0
8166,599.0,"[24258, 9507, 8165, 22927, 9617, 24148]",10,4,9,5,4,3,24258,200.0
9507,422.0,"[10848, 9506, 24268, 10958, 25489, 25599]",10,3,9,4,3,1,24268,100.0
10848,267.0,"[25609, 12299, 26830, 26940, 12189, 10847]",10,2,9,3,2,4,26830,220.0
12189,145.0,"[26950, 13640, 28171, 28281, 13530, 12188]",10,1,9,2,1,4,28171,220.0
13530,0.0,['end'],10,0,9,1,0,0,0,0.0
4253,990.0,"[19014, 5704, 20235, 20345, 5594, 4252]",10,7,8,9,7,4,20235,220.0
5704,918.0,"[21796, 7045, 5703, 20465, 7155, 21686]",10,6,7,9,6,4,21686,220.0
7155,764.0,"[23137, 23247, 8496, 7154, 21916, 8606]",10,5,6,9,5,3,23247,200.0
8606,599.0,"[23367, 10057, 24588, 24698, 9947, 8605]",10,4,5,9,4,3,24698,200.0
10057,422.0,"[26149, 11398, 10056, 24818, 11508, 26039]",10,3,4,9,3,1,24818,100.0
11508,267.0,"[27490, 27600, 12849, 11507, 26269, 12959]",10,2,3,9,2,4,27490,220.0
12959,145.0,"[27720, 14410, 28941, 29051, 14300, 12958]",10,1,2,9,1,4,28941,220.0
14410,0.0,['end'],10,0,1,9,0,0,0,0.0
5594,918.0,"[20355, 7045, 21576, 21686, 6935, 5593]",10,6,8,8,6,4,21576,220.0
7045,764.0,"[23137, 8386, 7044, 21806, 8496, 23027]",10,5,7,8,5,3,23137,200.0
6935,764.0,"[21696, 8386, 22917, 23027, 8276, 6934]",10,5,8,7,5,3,23027,200.0
8276,599.0,"[24258, 24368, 9617, 8275, 23037, 9727]",10,4,8,6,4,3,24368,200.0
9617,422.0,"[25709, 10958, 9616, 24378, 11068, 25599]",10,3,8,5,3,1,24378,100.0
10958,267.0,"[27050, 12299, 10957, 25719, 12409, 26940]",10,2,8,4,2,4,26940,220.0
12299,145.0,"[28391, 13640, 12298, 27060, 13750, 28281]",10,1,8,3,1,4,28281,220.0
13640,0.0,['end'],10,0,8,2,0,0,0,0.0
16222,1142.0,"[30983, 17673, 32204, 32314, 17563, 16221]",9,9,8,10,8,4,32204,220.0
30983,990.0,"[47075, 32324, 30982, 45744, 32434, 46965]",8,9,7,10,7,4,46965,220.0
45744,918.0,"[61836, 47085, 45743, 60505, 47195, 61726]",7,9,6,10,6,4,61726,220.0
60505,764.0,"[75266, 61956, 76487, 76597, 61846, 60504]",6,9,5,10,5,3,76597,200.0
17673,990.0,"[33765, 19014, 17672, 32434, 19124, 33655]",9,8,7,10,7,4,33655,220.0
32434,918.0,"[48416, 48526, 33775, 32433, 47195, 33885]",8,8,6,10,6,4,48416,220.0
47195,764.0,"[61956, 48646, 63177, 63287, 48536, 47194]",7,8,5,10,5,3,63287,200.0
61956,599.0,"[78048, 63297, 61955, 76717, 63407, 77938]",6,8,4,10,4,3,78048,200.0
19124,918.0,"[35106, 35216, 20465, 19123, 33885, 20575]",9,7,6,10,6,4,35106,220.0
33885,764.0,"[48646, 35336, 49867, 49977, 35226, 33884]",8,7,5,10,5,3,49977,200.0
48646,599.0,"[64738, 49987, 48645, 63407, 50097, 64628]",7,7,4,10,4,3,64738,200.0
63407,422.0,"[79499, 64748, 63406, 78168, 64858, 79389]",6,7,3,10,3,1,78168,100.0
20575,764.0,"[35336, 22026, 36557, 36667, 21916, 20574]",9,6,5,10,5,3,36667,200.0
35336,599.0,"[51428, 36677, 35335, 50097, 36787, 51318]",8,6,4,10,4,3,51428,200.0
50097,422.0,"[66189, 51438, 50096, 64858, 51548, 66079]",7,6,3,10,3,1,64858,100.0
64858,267.0,"[79619, 66309, 80840, 80950, 66199, 64857]",6,6,2,10,2,4,80840,220.0
22026,599.0,"[38118, 23367, 22025, 36787, 23477, 38008]",9,5,4,10,4,3,38118,200.0
36787,422.0,"[52769, 52879, 38128, 36786, 51548, 38238]",8,5,3,10,3,1,51548,100.0
51548,267.0,"[66309, 52999, 67530, 67640, 52889, 51547]",7,5,2,10,2,4,67530,220.0
66309,145.0,"[82401, 67650, 66308, 81070, 67760, 82291]",6,5,1,10,1,4,82291,220.0
23477,422.0,"[24928, 39459, 39569, 24818, 23476, 38238]",9,4,3,10,3,1,38238,100.0
24928,267.0,"[39689, 26379, 40910, 41020, 26269, 24927]",9,3,2,10,2,4,40910,220.0
26379,145.0,"[42471, 27720, 26378, 41140, 27830, 42361]",9,2,1,10,1,4,42361,220.0
27830,0.0,['end'],9,1,0,10,0,0,0,0.0
38238,267.0,"[52999, 39689, 54220, 54330, 39579, 38237]",8,4,2,10,2,4,54220,220.0
52999,145.0,"[69091, 54340, 52998, 67760, 54450, 68981]",7,4,1,10,1,4,68981,220.0
67760,0.0,['end'],6,4,0,10,0,0,0,0.0
39689,145.0,"[55781, 41030, 39688, 54450, 41140, 55671]",8,3,1,10,1,4,55671,220.0
54450,0.0,['end'],7,3,0,10,0,0,0,0.0
41140,0.0,['end'],8,2,0,10,0,0,0,0.0
32314,990.0,"[47075, 33765, 48296, 48406, 33655, 32313]",8,8,7,10,7,4,48296,220.0
47075,918.0,"[48416, 47074, 61836, 48526, 63057, 63167]",7,8,6,10,6,4,63057,220.0
61836,764.0,"[77928, 63177, 61835, 76597, 63287, 77818]",6,8,5,10,5,3,77928,200.0
76597,599.0,"[78048, 92579, 92689, 77938, 76596, 91358]",5,8,4,10,4,3,92689,200.0
33765,918.0,"[49857, 35106, 33764, 48526, 35216, 49747]",8,7,6,10,6,4,49747,220.0
48526,764.0,"[64618, 49867, 48525, 63287, 49977, 64508]",7,7,5,10,5,3,64618,200.0
63287,599.0,"[78048, 64738, 79269, 79379, 64628, 63286]",6,7,4,10,4,3,79379,200.0
78048,422.0,"[92809, 79499, 94030, 94140, 79389, 78047]",5,7,3,10,3,1,92809,100.0
35216,764.0,"[51308, 36557, 35215, 49977, 36667, 51198]",8,6,5,10,5,3,51308,200.0
49977,599.0,"[64738, 51428, 65959, 66069, 51318, 49976]",7,6,4,10,4,3,66069,200.0
64738,422.0,"[64737, 79499, 66189, 80720, 80830, 66079]",6,6,3,10,3,1,79499,100.0
79499,267.0,"[95591, 80840, 79498, 94260, 80950, 95481]",5,6,2,10,2,4,95481,220.0
36667,599.0,"[51428, 38118, 52649, 52759, 38008, 36666]",8,5,4,10,4,3,52759,200.0
51428,422.0,"[67520, 52769, 51427, 66189, 52879, 67410]",7,5,3,10,3,1,66189,100.0
66189,267.0,"[82281, 67530, 66188, 80950, 67640, 82171]",6,5,2,10,2,4,82171,220.0
80950,145.0,"[82401, 96932, 97042, 82291, 80949, 95711]",5,5,1,10,1,4,96932,220.0
38118,422.0,"[54210, 39459, 38117, 52879, 39569, 54100]",8,4,3,10,3,1,52879,100.0
52879,267.0,"[68971, 54220, 52878, 67640, 54330, 68861]",7,4,2,10,2,4,68861,220.0
67640,145.0,"[82401, 69091, 83622, 83732, 68981, 67639]",6,4,1,10,1,4,83622,220.0
82401,0.0,['end'],5,4,0,10,0,0,0,0.0
48406,918.0,"[49857, 64388, 64498, 49747, 48405, 63167]",7,7,6,10,6,4,64388,220.0
49857,764.0,"[49856, 64618, 51308, 65839, 65949, 51198]",7,6,5,10,5,3,65949,200.0
51308,599.0,"[67400, 52649, 51307, 66069, 52759, 67290]",7,5,4,10,4,3,67400,200.0
52759,422.0,"[67520, 54210, 68741, 68851, 54100, 52758]",7,4,3,10,3,1,67520,100.0
54210,267.0,"[54209, 68971, 55661, 70192, 70302, 55551]",7,3,2,10,2,4,70192,220.0
64498,764.0,"[80480, 80590, 65839, 64497, 79259, 65949]",6,6,5,10,5,3,80590,200.0
80590,599.0,"[96682, 81931, 80589, 95351, 82041, 96572]",5,5,4,10,4,3,96682,200.0
96682,422.0,"[112774, 98023, 96681, 111443, 98133, 112664]",4,4,3,10,3,1,111443,100.0
112774,267.0,"[128866, 114115, 112773, 127535, 114225, 128756]",3,3,2,10,2,4,128756,220.0
128866,145.0,"[128865, 143627, 130317, 144848, 144958, 130207]",2,2,1,10,1,4,144848,220.0
144958,0.0,['end'],1,1,0,10,0,0,0,0.0
65949,599.0,"[80710, 67400, 81931, 82041, 67290, 65948]",6,5,4,10,4,3,82041,200.0
67400,422.0,"[83492, 68741, 67399, 82161, 68851, 83382]",6,4,3,10,3,1,82161,100.0
68851,267.0,"[84833, 84943, 70192, 68850, 83612, 70302]",6,3,2,10,2,4,84833,220.0
70302,145.0,"[85063, 71753, 86284, 86394, 71643, 70301]",6,2,1,10,1,4,86284,220.0
82041,422.0,"[96802, 83492, 98023, 98133, 83382, 82040]",5,4,3,10,3,1,96802,100.0
83492,267.0,"[99584, 84833, 83491, 98253, 84943, 99474]",5,3,2,10,2,4,99474,220.0
84943,145.0,"[101035, 86284, 84942, 99704, 86394, 100925]",5,2,1,10,1,4,100925,220.0
86394,0.0,['end'],5,1,0,10,0,0,0,0.0
98133,267.0,"[99584, 114115, 114225, 99474, 98132, 112894]",4,3,2,10,2,4,114115,220.0
99584,145.0,"[114345, 101035, 115566, 115676, 100925, 99583]",4,2,1,10,1,4,115566,220.0
101035,0.0,['end'],4,1,0,10,0,0,0,0.0
114225,145.0,"[130317, 115566, 114224, 128986, 115676, 130207]",3,2,1,10,1,4,130207,220.0
130317,0.0,['end'],2,1,0,10,0,0,0,0.0
115676,0.0,['end'],3,1,0,10,0,0,0,0.0
63167,764.0,"[77928, 64618, 79149, 79259, 64508, 63166]",6,7,5,10,5,3,79259,200.0
77928,599.0,"[94020, 79269, 77927, 92689, 79379, 93910]",5,7,4,10,4,3,94020,200.0
92689,422.0,"[108781, 94030, 92688, 107450, 94140, 108671]",4,7,3,10,3,1,107450,100.0
64618,599.0,"[80710, 65959, 64617, 79379, 66069, 80600]",6,6,4,10,4,3,80710,200.0
79379,422.0,"[95361, 95471, 80720, 79378, 94140, 80830]",5,6,3,10,3,1,94140,100.0
94140,267.0,"[108901, 95591, 110122, 110232, 95481, 94139]",4,6,2,10,2,4,110122,220.0
66069,422.0,"[67520, 82051, 82161, 67410, 66068, 80830]",6,5,3,10,3,1,80830,100.0
67520,267.0,"[82281, 68971, 83502, 83612, 68861, 67519]",6,4,2,10,2,4,83502,220.0
68971,145.0,"[85063, 70312, 68970, 83732, 70422, 84953]",6,3,1,10,1,4,84953,220.0
80830,267.0,"[95591, 82281, 96812, 96922, 82171, 80829]",5,5,2,10,2,4,96812,220.0
82281,145.0,"[98373, 83622, 82280, 97042, 83732, 98263]",5,4,1,10,1,4,98263,220.0
83732,0.0,['end'],5,3,0,10,0,0,0,0.0
79259,599.0,"[94020, 80710, 95241, 95351, 80600, 79258]",5,6,4,10,4,3,95351,200.0
94020,422.0,"[110112, 95361, 94019, 108781, 95471, 110002]",4,6,3,10,3,1,108781,100.0
108781,267.0,"[124873, 110122, 108780, 123542, 110232, 124763]",3,6,2,10,2,4,124763,220.0
80710,422.0,"[96802, 82051, 80709, 95471, 82161, 96692]",5,5,3,10,3,1,95471,100.0
95471,267.0,"[111563, 96812, 95470, 110232, 96922, 111453]",4,5,2,10,2,4,111453,220.0
110232,145.0,"[124993, 111683, 126214, 126324, 111573, 110231]",3,5,1,10,1,4,126214,220.0
82161,267.0,"[98253, 83502, 82160, 96922, 83612, 98143]",5,4,2,10,2,4,98143,220.0
96922,145.0,"[111683, 98373, 112904, 113014, 98263, 96921]",4,4,1,10,1,4,112904,220.0
83612,145.0,"[98373, 85063, 99594, 99704, 84953, 83611]",5,3,1,10,1,4,99594,220.0
98373,0.0,['end'],4,3,0,10,0,0,0,0.0
85063,0.0,['end'],5,2,0,10,0,0,0,0.0
95351,422.0,"[110112, 96802, 111333, 111443, 96692, 95350]",4,5,3,10,3,1,110112,100.0
110112,267.0,"[124873, 111563, 126094, 126204, 111453, 110111]",3,5,2,10,2,4,126094,220.0
124873,145.0,"[140965, 126214, 124872, 139634, 126324, 140855]",2,5,1,10,1,4,140855,220.0
96802,267.0,"[96801, 111563, 98253, 112784, 112894, 98143]",4,4,2,10,2,4,112784,220.0
111563,145.0,"[127655, 112904, 111562, 126324, 113014, 127545]",3,4,1,10,1,4,127545,220.0
126324,0.0,['end'],2,4,0,10,0,0,0,0.0
98253,145.0,"[114345, 99594, 98252, 113014, 99704, 114235]",4,3,1,10,1,4,114235,220.0
113014,0.0,['end'],3,3,0,10,0,0,0,0.0
99704,0.0,['end'],4,2,0,10,0,0,0,0.0
111443,267.0,"[127425, 127535, 112784, 111442, 126204, 112894]",3,4,2,10,2,4,127425,220.0
127535,145.0,"[143627, 128876, 127534, 142296, 128986, 143517]",2,3,1,10,1,4,143517,220.0
143627,0.0,['end'],1,2,0,10,0,0,0,0.0
126204,145.0,"[140965, 127655, 142186, 142296, 127545, 126203]",2,4,1,10,1,4,142186,220.0
140965,0.0,['end'],1,4,0,10,0,0,0,0.0
142296,0.0,['end'],1,3,0,10,0,0,0,0.0
112894,145.0,"[127655, 114345, 128876, 128986, 114235, 112893]",3,3,1,10,1,4,128876,220.0
127655,0.0,['end'],2,3,0,10,0,0,0,0.0
114345,0.0,['end'],3,2,0,10,0,0,0,0.0
128986,0.0,['end'],2,2,0,10,0,0,0,0.0
17563,990.0,"[32324, 19014, 33545, 33655, 18904, 17562]",9,8,8,9,7,4,33545,220.0
32324,918.0,"[48416, 33665, 32323, 47085, 33775, 48306]",8,8,7,9,6,4,48306,220.0
47085,764.0,"[63177, 48426, 47084, 61846, 48536, 63067]",7,8,6,9,5,3,63177,200.0
61846,599.0,"[63297, 77828, 77938, 63187, 61845, 76607]",6,8,5,9,4,3,77938,200.0
19014,918.0,"[35106, 20355, 19013, 33775, 20465, 34996]",9,7,7,9,6,4,34996,220.0
33775,764.0,"[49867, 35116, 33774, 48536, 35226, 49757]",8,7,6,9,5,3,49867,200.0
48536,599.0,"[63297, 49987, 64518, 64628, 49877, 48535]",7,7,5,9,4,3,64628,200.0
63297,422.0,"[63296, 78058, 64748, 79279, 79389, 64638]",6,7,4,9,3,1,78058,100.0
20465,764.0,"[36557, 21806, 20464, 35226, 21916, 36447]",9,6,6,9,5,3,36557,200.0
35226,599.0,"[49987, 36677, 51208, 51318, 36567, 35225]",8,6,5,9,4,3,51318,200.0
49987,422.0,"[51328, 49986, 64748, 51438, 65969, 66079]",7,6,4,9,3,1,64748,100.0
64748,267.0,"[80840, 66089, 64747, 79509, 66199, 80730]",6,6,3,9,2,4,80730,220.0
21916,599.0,"[36677, 23367, 37898, 38008, 23257, 21915]",9,5,5,9,4,3,38008,200.0
36677,422.0,"[52769, 38018, 36676, 51438, 38128, 52659]",8,5,4,9,3,1,51438,100.0
51438,267.0,"[67530, 52779, 51437, 66199, 52889, 67420]",7,5,3,9,2,4,67420,220.0
