,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
84382,145.0,"[99143, 85833, 100364, 100474, 85723, 84381]",5,2,6,6,1,4,100364,220.0
85833,0.0,['end'],5,1,5,6,0,0,0,0.0
100364,0.0,['end'],4,1,6,5,0,0,0,0.0
100474,0.0,['end'],4,1,5,6,0,0,0,0.0
85723,0.0,['end'],5,1,6,5,0,0,0,0.0
96351,267.0,"[111112, 97802, 112333, 112443, 97692, 96350]",4,4,6,7,2,4,112333,220.0
111112,145.0,"[127204, 112453, 111111, 125873, 112563, 127094]",3,4,5,7,1,4,127094,220.0
125873,0.0,['end'],2,4,4,7,0,0,0,0.0
97802,145.0,"[113894, 99143, 97801, 112563, 99253, 113784]",4,3,5,7,1,4,113784,220.0
112563,0.0,['end'],3,3,4,7,0,0,0,0.0
112333,145.0,"[128425, 113674, 112332, 127094, 113784, 128315]",3,3,6,6,1,4,128315,220.0
127094,0.0,['end'],2,3,5,6,0,0,0,0.0
128315,0.0,['end'],2,2,6,5,0,0,0,0.0
112443,145.0,"[127204, 113894, 128425, 128535, 113784, 112442]",3,3,5,7,1,4,128425,220.0
127204,0.0,['end'],2,3,4,7,0,0,0,0.0
128425,0.0,['end'],2,2,5,6,0,0,0,0.0
128535,0.0,['end'],2,2,4,7,0,0,0,0.0
97692,145.0,"[112453, 99143, 113674, 113784, 99033, 97691]",4,3,6,6,1,4,113674,220.0
112453,0.0,['end'],3,3,5,6,0,0,0,0.0
99143,0.0,['end'],4,2,5,6,0,0,0,0.0
113674,0.0,['end'],3,2,6,5,0,0,0,0.0
113784,0.0,['end'],3,2,5,6,0,0,0,0.0
99033,0.0,['end'],4,2,6,5,0,0,0,0.0
81931,422.0,"[98023, 83272, 81930, 96692, 83382, 97913]",5,4,4,9,3,1,96692,100.0
98023,267.0,"[114115, 99364, 98022, 112784, 99474, 114005]",4,3,3,9,2,4,114005,220.0
114115,145.0,"[115456, 114114, 128876, 115566, 130097, 130207]",3,2,2,9,1,4,130097,220.0
130207,0.0,['end'],2,1,1,9,0,0,0,0.0
83272,267.0,"[99364, 84613, 83271, 98033, 84723, 99254]",5,3,4,8,2,4,99254,220.0
84613,145.0,"[100705, 85954, 84612, 99374, 86064, 100595]",5,2,4,7,1,4,100595,220.0
85954,0.0,['end'],5,1,4,6,0,0,0,0.0
96692,267.0,"[112674, 112784, 98033, 96691, 111453, 98143]",4,4,3,9,2,4,112674,220.0
112784,145.0,"[128876, 114125, 112783, 127545, 114235, 128766]",3,3,2,9,1,4,128766,220.0
128876,0.0,['end'],2,2,1,9,0,0,0,0.0
98033,145.0,"[114125, 99374, 98032, 112794, 99484, 114015]",4,3,3,8,1,4,114015,220.0
99374,0.0,['end'],4,2,3,7,0,0,0,0.0
111453,145.0,"[126214, 112904, 127435, 127545, 112794, 111452]",3,4,2,9,1,4,127435,220.0
126214,0.0,['end'],2,4,1,9,0,0,0,0.0
127545,0.0,['end'],2,3,1,9,0,0,0,0.0
112794,0.0,['end'],3,3,2,8,0,0,0,0.0
83382,267.0,"[84833, 99364, 99474, 84723, 83381, 98143]",5,3,3,9,2,4,99364,220.0
84833,145.0,"[84832, 99594, 86284, 100815, 100925, 86174]",5,2,2,9,1,4,100815,220.0
86284,0.0,['end'],5,1,1,9,0,0,0,0.0
99474,145.0,"[115456, 115566, 100815, 99473, 114235, 100925]",4,2,2,9,1,4,115456,220.0
115566,0.0,['end'],3,1,1,9,0,0,0,0.0
100925,0.0,['end'],4,1,1,9,0,0,0,0.0
84723,145.0,"[100705, 100815, 86064, 84722, 99484, 86174]",5,2,3,8,1,4,100705,220.0
86064,0.0,['end'],5,1,3,7,0,0,0,0.0
86174,0.0,['end'],5,1,2,8,0,0,0,0.0
