$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,0,1,1,0,0,0,1,1,96,8731.25292969,0,0,0,0,1,0,0,0,2,0,0
0,1,1,0,1,0,0,1,0,1,96,6753.98583984,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,96,996.911254883,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,2,96,5869.2734375,0,0,0,0,1,0,1,0,2,0,0
0,1,0,0,1,0,1,1,0,1,96,6844.74169922,0,0,0,0,2,0,2,0,0,0,0
1,0,0,0,1,0,0,1,2,2,96,6842.70019531,0,0,1,0,0,0,2,0,2,0,0
0,1,1,1,1,0,1,1,0,1,96,8727.70117188,0,0,0,0,2,0,1,0,1,0,0
0,0,1,0,1,0,0,0,1,2,96,4872.36279297,0,0,0,0,0,0,1,0,2,0,0
1,0,1,0,1,0,0,0,0,1,96,6844.73632812,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,1,2,96,4872.36279297,0,0,0,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,1,0,2,96,5847.83496094,0,0,0,0,1,0,2,0,0,0,0
1,0,1,0,1,0,0,0,0,2,96,4870.32910156,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,1,2,96,4872.36279297,0,0,0,0,0,0,2,0,2,0,0
0,0,1,1,1,0,1,1,0,1,96,6846.06152344,0,0,0,0,2,0,2,0,1,0,0
1,0,0,1,1,0,0,0,0,0,96,5960.54931641,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,2,1,2,96,7750.89306641,0,0,0,0,2,0,1,0,2,0,0
0,0,1,1,1,0,1,0,0,1,96,5849.14990234,0,0,0,0,2,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,0,96,8726.34179688,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,1,2,2,96,6844.74072266,0,0,0,0,2,0,2,0,2,0,0
0,0,0,1,1,0,0,0,2,2,96,5761.96582031,0,0,0,0,0,0,0,0,2,0,0
0,1,1,1,1,0,0,0,1,1,96,7734.35205078,0,0,0,0,0,0,1,0,2,0,0
0,1,0,0,1,0,1,0,1,1,96,6844.74072266,0,0,0,0,2,0,0,0,2,0,0
1,0,0,1,1,0,0,0,1,2,96,5847.10986328,0,0,1,0,0,0,0,0,2,0,0
0,0,1,0,1,0,1,0,1,1,96,5847.83349609,0,0,0,0,2,0,0,0,2,0,0
0,0,1,1,1,0,0,0,1,1,96,5761.96582031,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1,1,0,0,1,1,2,96,5849.15087891,0,0,0,0,0,0,2,0,2,0,0
0,0,1,1,1,0,0,1,2,2,96,7734.3515625,0,0,0,0,0,0,1,0,2,0,0
1,0,0,1,1,0,0,1,0,1,96,7821.53662109,0,0,0,0,0,0,2,0,1,0,0
0,1,1,0,1,0,0,1,1,2,96,6844.73632812,0,0,0,0,1,0,1,0,2,0,0
0,0,0,0,1,0,1,2,2,2,96,7820.18798828,0,0,0,0,2,0,2,0,2,0,0
1,0,0,1,1,0,0,0,1,1,96,7755.78759766,0,0,0,0,0,0,0,0,2,0,0
