$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
0,1,1,1,1,0,0,1,1,1,94,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,94,7253.38085938,0,0,2,0,0,0
0,1,1,1,1,0,1,1,1,1,94,7253.38085938,0,0,2,0,0,0
0,0,1,1,1,0,0,1,1,1,94,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,94,6391.29541016,0,0,2,0,0,0
0,0,1,1,1,0,0,2,2,2,94,6853.92285156,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,94,7253.35302734,1,3,0,0,0,0
1,0,1,1,1,0,0,1,1,1,94,7253.35302734,1,3,0,0,0,0
0,0,1,1,1,0,0,0,0,0,93,3744.60546875,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,93,6853.92285156,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,93,7253.3203125,1,3,0,0,0,0
1,0,1,1,1,0,0,1,1,1,93,7253.3203125,1,3,0,0,0,0
0,0,1,1,1,0,1,2,2,2,93,7253.35449219,0,0,2,0,0,0
0,0,1,1,1,0,1,1,1,1,93,6391.26904297,0,0,2,0,0,0
0,0,1,1,1,0,0,1,1,1,93,5991.83740234,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,93,6391.23486328,1,3,0,0,0,0
0,1,1,1,1,0,0,0,0,0,93,5991.83740234,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,93,7253.35449219,0,0,2,0,0,0
0,0,1,1,1,0,0,2,2,2,93,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,92,3744.60546875,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,92,7253.32226562,0,0,2,0,0,0
1,1,1,1,1,0,0,0,0,0,92,7253.27978516,1,3,0,0,0,0
1,0,1,1,1,0,0,1,1,1,92,7253.27978516,1,3,0,0,0,0
0,0,1,1,1,0,0,2,2,2,92,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,92,6391.23681641,0,0,2,0,0,0
0,1,1,1,1,0,0,1,1,1,92,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,92,7253.32226562,0,0,2,0,0,0
0,0,1,1,1,0,0,1,1,1,92,5991.83740234,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,92,5991.83740234,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,92,6391.19433594,1,3,0,0,0,0
0,0,1,1,1,0,1,2,2,2,91,7253.28271484,0,0,2,0,0,0
1,1,1,1,1,0,0,0,0,0,91,7253.23046875,1,3,0,0,0,0
1,0,1,1,1,0,0,1,1,1,91,7253.23046875,1,3,0,0,0,0
0,0,1,1,1,0,0,1,1,1,91,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,91,6391.19726562,0,0,2,0,0,0
0,1,1,1,1,0,0,0,0,0,91,5991.83740234,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,91,7253.28271484,0,0,2,0,0,0
1,0,1,1,1,0,0,0,0,0,91,6391.14501953,1,3,0,0,0,0
0,0,1,1,1,0,0,2,2,2,91,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,91,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,91,3744.60546875,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,90,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,90,5991.83740234,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,90,7253.171875,1,3,0,0,0,0
0,1,1,1,1,0,1,1,1,1,90,7253.23486328,0,0,2,0,0,0
0,0,1,1,1,0,1,2,2,2,90,7253.23486328,0,0,2,0,0,0
1,0,1,1,1,0,0,1,1,1,90,7253.171875,1,3,0,0,0,0
0,0,1,1,1,0,1,1,1,1,90,6391.14941406,0,0,2,0,0,0
0,1,1,1,1,0,0,1,1,1,90,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,90,5991.83740234,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,90,6391.08642578,1,3,0,0,0,0
0,0,1,1,1,0,0,0,0,0,90,3744.60546875,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,89,7253.17773438,0,0,2,0,0,0
0,0,1,1,1,0,0,0,0,0,89,3744.60546875,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,89,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,89,5991.83740234,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,89,6391.01513672,1,3,0,0,0,0
1,0,1,1,1,0,0,1,1,1,89,7253.10058594,1,3,0,0,0,0
0,0,1,1,1,0,0,2,2,2,89,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,89,6853.92285156,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,89,7253.10058594,1,3,0,0,0,0
0,0,1,1,1,0,1,1,1,1,89,6391.09228516,0,0,2,0,0,0
0,0,1,1,1,0,1,2,2,2,89,7253.17773438,0,0,2,0,0,0
0,0,1,1,1,0,1,2,2,2,88,7253.10888672,0,0,2,0,0,0
0,0,1,1,1,0,0,1,1,1,88,5991.83740234,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,88,7253.01513672,1,3,0,0,0,0
1,1,1,1,1,0,0,0,0,0,88,7253.01513672,1,3,0,0,0,0
0,1,1,1,1,0,0,0,0,0,88,5991.83740234,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,88,6853.92285156,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,88,6390.9296875,1,3,0,0,0,0
0,0,1,1,1,0,0,2,2,2,88,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,88,6391.0234375,0,0,2,0,0,0
0,0,1,1,1,0,0,0,0,0,88,3744.60546875,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,88,7253.10888672,0,0,2,0,0,0
0,1,1,1,1,0,0,0,0,0,87,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,87,7253.02587891,0,0,2,0,0,0
1,1,1,1,1,0,0,0,0,0,87,7252.91162109,1,3,0,0,0,0
0,1,1,1,1,0,0,1,1,1,87,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,87,3744.60546875,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,87,7252.91162109,1,3,0,0,0,0
0,1,1,1,1,0,1,1,1,1,87,7253.02587891,0,0,2,0,0,0
1,0,1,1,1,0,0,0,0,0,87,6390.82617188,1,3,0,0,0,0
0,0,1,1,1,0,0,1,1,1,87,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,87,6390.94042969,0,0,2,0,0,0
0,0,1,1,1,0,0,2,2,2,87,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,86,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,86,3744.60546875,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,86,7252.92626953,0,0,2,0,0,0
0,0,1,1,1,0,0,2,2,2,86,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,86,7252.92626953,0,0,2,0,0,0
0,1,1,1,1,0,0,1,1,1,86,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,86,6390.84082031,0,0,2,0,0,0
1,1,1,1,1,0,0,0,0,0,86,7252.78271484,1,3,0,0,0,0
1,0,1,1,1,0,0,0,0,0,86,6390.69140625,1,3,0,0,0,0
1,0,1,1,1,0,0,1,1,1,86,7252.78271484,1,3,0,0,0,0
0,0,1,1,1,0,0,1,1,1,86,5991.83740234,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,85,7252.80615234,0,0,2,0,0,0
0,0,1,1,1,0,1,2,2,2,85,7252.80615234,0,0,2,0,0,0
1,1,1,1,1,0,0,0,0,0,85,7252.58935547,1,3,0,0,0,0
0,1,1,1,1,0,0,1,1,1,85,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,85,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,85,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,85,3744.60546875,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,85,7252.58935547,1,3,0,0,0,0
1,0,1,1,1,0,0,0,0,0,85,6390.45019531,1,3,0,0,0,0
0,0,1,1,1,0,0,1,1,1,85,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,85,6390.72070312,0,0,2,0,0,0
0,0,1,1,1,0,0,2,2,2,84,6853.92285156,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,84,6853.92285156,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,84,7252.66064453,0,0,2,0,0,0
0,1,1,1,1,0,1,1,1,1,84,7252.66064453,0,0,2,0,0,0
0,1,1,1,1,0,0,0,0,0,84,5991.83740234,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,84,5991.83740234,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,84,6389.49951172,1,3,0,0,0,0
0,0,1,1,1,0,0,0,0,0,84,3744.60546875,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,84,7252.04345703,1,3,0,0,0,0
0,0,1,1,1,0,1,1,1,1,84,6390.57470703,0,0,2,0,0,0
1,1,1,1,1,0,0,0,0,0,84,7252.04345703,1,3,0,0,0,0
0,0,1,1,1,0,1,2,2,2,83,7252.48339844,0,0,2,0,0,0
1,0,1,1,1,0,0,1,1,1,83,7248.90234375,1,3,0,0,0,0
0,0,1,1,1,0,0,1,1,1,83,5991.83740234,0,0,0,0,0,0
