$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
0,1,0,1,1,0,1,1,0,1,97,6399.54199219,0,0,2,2,0,2
0,1,1,1,1,0,0,0,0,0,97,6199.43652344,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,2,97,5560.99316406,0,0,0,0,2,2
1,1,0,1,0,0,0,0,1,0,97,4999.28076172,1,3,1,0,2,0
1,1,0,0,0,0,0,0,0,1,97,5560.55761719,0,0,0,0,0,2
1,0,1,1,1,0,0,1,0,1,97,8181.68164062,1,3,0,2,0,2
1,0,0,1,1,0,0,0,2,2,97,5738.21826172,0,1,0,0,2,2
0,0,1,1,1,0,1,1,0,1,97,5799.91015625,0,0,2,2,0,2
0,1,1,0,0,0,1,1,1,2,97,7003.72167969,0,0,2,2,2,2
0,1,0,1,1,0,0,0,1,1,97,6199.43652344,0,0,0,0,2,2
0,1,0,1,1,0,1,1,1,2,97,7560.56591797,0,0,2,2,2,2
0,1,1,0,0,0,1,1,1,1,97,6524.51464844,0,0,2,2,2,2
0,1,1,1,1,0,1,1,1,1,97,8524.48925781,0,0,2,2,2,2
0,0,1,0,1,0,0,0,0,1,97,3799.9621582,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,97,3399.93481445,0,0,0,0,0,1
0,0,1,1,1,0,0,2,2,2,97,8124.51025391,0,0,0,2,2,2
1,0,0,1,0,0,0,0,1,1,97,5599.41894531,1,3,0,0,2,2
0,1,1,0,1,0,0,0,0,0,97,5199.44140625,0,0,0,0,0,1
0,1,1,0,1,0,1,1,1,1,97,7524.51269531,0,0,2,2,2,2
0,0,0,1,1,0,0,0,1,1,97,3799.9621582,0,0,0,0,2,1
1,0,0,1,0,0,0,1,2,2,97,5338.19189453,0,1,0,2,2,2
1,1,0,0,0,0,0,0,1,1,97,4999.25146484,1,3,1,0,2,2
1,0,1,0,1,0,0,0,1,1,97,6925.02392578,1,3,0,0,2,2
0,1,0,1,1,0,0,1,1,1,97,6799.06835938,0,0,0,2,2,2
0,0,0,1,1,0,1,1,1,1,97,4799.91503906,0,0,2,2,2,0
0,0,1,0,1,0,1,2,2,2,97,7524.51269531,0,0,2,2,2,2
0,0,1,1,1,0,1,2,2,2,97,8524.48925781,0,0,2,2,2,2
0,1,1,0,1,0,0,0,0,1,97,6182.09130859,0,0,0,0,0,2
0,1,1,0,1,0,1,1,0,2,97,7521.48095703,0,0,2,2,0,2
0,1,0,1,0,0,0,0,1,1,97,5199.43701172,0,0,0,0,2,2
0,1,1,1,0,0,1,1,1,1,97,7524.48632812,0,0,2,2,2,2
1,1,0,0,1,0,0,0,1,2,97,5770.44238281,0,0,0,0,2,2
0,0,1,1,1,0,1,0,1,1,97,5999.4453125,0,0,2,0,2,2
0,1,1,0,0,0,0,0,0,0,97,4199.44189453,0,0,0,0,0,0
0,1,0,1,1,0,0,1,2,2,97,6599.43017578,0,0,1,2,2,2
0,1,1,1,1,0,1,1,1,0,97,7536.59228516,0,0,2,2,2,0
1,1,0,0,1,0,0,0,1,0,97,4999.28076172,1,3,1,0,2,1
0,0,1,1,0,0,1,2,2,2,97,7524.48632812,0,0,2,2,2,2
1,1,1,0,1,0,0,0,0,0,97,7524.43945312,1,3,3,0,0,1
1,0,1,1,1,0,0,1,1,1,97,8524.48925781,1,3,0,2,2,2
0,0,1,0,1,0,0,1,1,1,97,5199.44140625,0,0,0,2,2,1
1,0,1,1,1,0,0,1,0,0,97,7199.04980469,1,3,0,2,0,1
1,0,0,1,1,0,0,1,2,1,97,5338.19873047,0,1,0,2,2,1
1,1,1,0,0,0,0,0,0,0,97,6524.44140625,1,3,3,0,0,0
1,0,0,1,0,0,0,0,0,0,97,3799.91503906,1,3,0,0,0,0
0,1,1,0,1,0,1,0,1,2,97,7404.09375,0,0,2,0,2,2
1,1,0,1,0,0,0,0,1,1,97,5999.24609375,1,3,1,0,2,2
1,0,0,1,1,0,0,0,0,1,97,5799.91015625,1,3,0,0,0,2
0,1,1,1,1,0,1,1,0,1,97,8181.68164062,0,0,2,2,0,2
1,0,0,0,1,0,0,0,1,2,97,4304.54003906,0,0,0,0,2,2
0,0,1,0,1,0,1,1,1,2,97,6582.07275391,0,0,2,2,2,2
0,1,0,1,1,0,1,0,1,1,97,6599.41845703,0,0,2,0,2,2
0,1,0,1,1,0,1,0,2,2,97,6399.27294922,0,0,2,0,2,2
0,1,0,0,1,0,0,0,1,1,97,5199.44140625,0,0,0,0,2,1
1,0,0,0,1,0,0,0,0,1,97,4799.91503906,1,3,0,0,0,1
0,1,1,1,0,0,1,1,1,0,97,6536.59082031,0,0,2,2,2,0
0,1,1,0,0,0,0,0,0,1,97,5182.09326172,0,0,0,0,0,2
1,0,1,0,1,0,0,1,0,1,97,7181.70361328,0,0,0,2,0,2
1,0,0,0,1,0,0,0,0,0,97,3799.91503906,1,3,0,0,0,1
1,1,1,0,1,0,0,0,0,1,97,8003.72265625,0,0,0,0,0,2
0,1,1,1,1,0,0,0,1,1,97,7525.02246094,0,0,0,0,2,2
1,0,0,0,1,0,0,0,1,1,97,5599.42285156,1,3,0,0,2,1
1,0,1,0,1,0,0,1,1,2,97,6600.93310547,0,0,0,2,2,2
1,0,0,1,1,0,0,1,1,2,97,5904.42822266,0,0,0,2,2,2
0,1,0,1,0,0,0,0,0,0,97,3399.93481445,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,97,4399.93359375,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1,97,7003.72167969,0,0,0,0,0,2
1,1,0,0,1,0,0,0,0,2,97,5137.60058594,0,0,0,0,0,2
0,0,1,0,1,0,0,0,0,0,97,2799.96240234,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,97,6199.05419922,1,3,0,0,0,1
1,1,0,1,0,0,0,0,0,0,97,6199.05078125,1,3,0,0,0,0
1,1,0,1,1,0,0,0,0,1,97,7560.56591797,0,0,0,0,0,2
0,0,1,0,1,0,1,1,1,1,97,5599.42285156,0,0,2,2,2,1
0,1,1,1,1,0,0,1,1,1,97,8124.51025391,0,0,0,2,2,2
0,1,1,1,0,0,0,0,0,0,97,5199.43701172,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,1,97,7582.05224609,0,0,0,0,0,2
1,0,0,1,1,0,0,1,0,1,97,6399.54199219,1,3,0,2,0,2
1,0,1,1,1,0,0,0,0,0,97,6599.41796875,1,3,0,0,0,1
0,1,0,1,1,0,1,1,1,1,97,7199.04980469,0,0,2,2,2,2
1,0,0,1,1,0,0,0,1,1,97,6599.41796875,1,3,0,0,2,2
1,0,1,0,1,0,0,0,1,2,97,6000.96777344,0,0,0,0,2,2
1,1,1,1,0,0,0,0,0,0,97,7524.41308594,1,3,3,0,0,0
1,1,0,0,0,0,0,0,0,0,97,5199.0546875,1,3,0,0,0,0
1,1,0,1,0,0,0,0,0,1,97,6560.54052734,0,0,0,0,0,2
0,1,0,0,1,0,1,1,2,2,97,5999.25048828,0,0,2,2,2,2
1,0,1,0,1,0,0,1,1,1,97,7524.51220703,1,3,0,2,2,2
1,0,1,1,1,0,0,0,1,1,97,7925.00341797,1,3,0,0,2,2
0,0,1,1,1,0,0,1,0,1,97,5399.92822266,0,0,0,2,0,2
1,0,1,0,0,0,0,1,1,2,97,5600.93505859,0,0,0,2,2,2
1,1,1,1,1,0,0,0,0,0,97,8524.41699219,1,3,3,0,0,0
0,1,1,1,1,0,1,0,0,1,97,7582.05224609,0,0,2,0,0,2
0,0,1,1,1,0,1,2,2,1,97,7536.59228516,0,0,2,2,2,2
0,1,0,0,1,0,1,1,1,1,97,6199.05419922,0,0,2,2,2,1
1,1,0,1,1,0,0,0,0,0,97,7199.04980469,1,3,0,0,0,1
1,0,1,0,0,0,0,0,0,1,97,5582.07470703,0,0,0,0,0,2
1,0,1,1,0,0,0,0,1,1,97,6924.99902344,1,3,0,0,2,2
1,0,1,0,1,0,0,0,0,1,97,6582.07275391,0,0,0,0,0,2
0,1,1,0,1,0,1,1,0,1,97,7181.70361328,0,0,2,2,0,2
0,1,1,0,1,0,1,1,1,2,97,8003.72265625,0,0,2,2,2,2
1,1,0,1,1,0,0,0,1,1,97,6999.24560547,1,3,1,0,2,2
0,1,0,0,1,0,1,1,1,2,97,6560.55761719,0,0,2,2,2,2
0,0,1,1,0,0,0,1,1,1,97,5199.43701172,0,0,0,2,2,2
0,1,1,1,0,0,0,1,1,1,97,7124.50488281,0,0,0,2,2,2
1,0,0,0,1,0,0,1,1,2,97,4904.43359375,0,0,0,2,2,2
0,0,1,1,1,0,0,1,1,0,97,5199.44140625,0,0,0,2,2,1
0,1,1,0,1,0,1,1,1,0,97,6536.59375,0,0,2,2,2,0
0,1,0,1,1,0,0,0,0,0,97,4399.93359375,0,0,0,0,0,1
0,0,1,1,1,0,0,1,1,1,97,6199.43603516,0,0,0,2,2,2
0,1,1,1,1,0,0,1,0,1,97,7781.69970703,0,0,0,2,0,2
1,1,0,1,1,0,0,0,1,0,97,5999.28027344,1,3,1,0,2,1
0,0,1,1,1,0,0,0,0,0,97,3799.9621582,0,0,0,0,0,1
0,0,1,1,1,0,1,1,2,2,97,7925.00390625,0,0,2,2,2,2
0,1,0,1,0,0,1,1,2,2,97,5999.24609375,0,0,2,2,2,2
1,0,0,1,0,0,0,1,1,1,97,6199.05078125,1,3,0,2,2,2
0,1,0,1,1,0,0,0,0,1,97,5399.92871094,0,0,0,0,0,2
