$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,6257.85595703,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0,0,99,5957.85498047,0,0,1,0,0,0
0,1,1,1,1,0,1,1,1,1,99,6257.85498047,0,0,1,0,0,0
1,1,0,1,1,0,0,0,1,1,99,6257.85546875,0,0,1,0,0,0
1,0,1,1,1,0,0,0,0,0,99,5857.92041016,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,99,5857.91503906,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0,1,99,6257.85058594,0,0,1,0,0,0
1,0,1,1,1,0,0,1,1,1,99,6157.91992188,0,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0,99,6257.85546875,0,0,1,0,0,0
1,1,0,1,1,0,0,0,0,0,99,5957.85498047,0,0,1,0,0,0
0,0,1,1,1,0,1,2,2,2,98,6157.91992188,0,0,2,0,1,0
1,0,0,1,1,0,0,1,1,1,98,5857.92041016,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0,98,5857.92041016,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,98,5457.92529297,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,98,6257.85009766,0,0,1,0,0,0
1,0,1,1,1,0,0,0,0,0,98,5857.92041016,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,98,6157.91992188,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,0,98,5957.85449219,0,0,1,0,0,0
1,1,0,0,1,0,0,0,1,2,98,6158.57519531,0,0,1,0,2,0
1,1,1,1,1,0,0,0,0,0,98,6257.85498047,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,1,98,5857.91503906,0,0,1,0,0,0
1,0,0,1,1,0,0,0,1,1,98,5857.92041016,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,2,98,6257.85009766,0,0,1,0,2,0
1,1,0,0,1,0,0,0,0,0,98,5557.92089844,0,0,1,0,0,0
0,1,1,1,1,0,1,1,0,0,98,5957.85449219,0,0,1,0,0,0
1,0,1,0,1,0,0,1,1,1,98,5857.92041016,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,98,5857.91503906,0,0,1,0,0,0
0,1,0,1,1,0,1,1,2,2,98,6257.85449219,0,0,1,0,0,0
0,1,0,1,1,0,1,1,1,1,98,5957.85449219,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,1,98,5957.85058594,0,0,1,0,0,0
0,0,1,1,1,0,1,1,1,1,98,5857.92041016,0,0,2,0,0,0
1,0,1,0,1,0,0,1,1,2,98,6058.86376953,0,0,0,2,2,0
1,1,0,1,1,0,0,0,1,1,98,6257.85498047,0,0,1,0,0,0
0,1,1,1,1,0,1,1,1,1,98,6257.85449219,0,0,1,0,0,0
1,1,0,0,1,0,0,0,1,1,98,5957.85058594,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,98,5857.91992188,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,98,5557.92041016,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,98,5957.85449219,0,0,1,0,0,0
1,0,0,1,1,0,0,1,2,2,98,6058.86621094,0,0,0,2,2,0
0,1,0,1,1,0,0,0,1,1,98,5857.91503906,0,0,1,0,0,0
0,0,1,1,1,0,0,1,1,1,98,5757.92480469,0,0,0,0,1,0
0,1,1,0,1,0,0,0,0,0,98,5557.91503906,0,0,1,0,0,0
1,1,0,1,1,0,0,0,0,0,98,5957.85449219,0,0,1,0,0,0
0,1,1,1,1,0,1,0,0,0,98,5857.92041016,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,98,5557.91503906,0,0,1,0,0,0
1,0,0,1,1,0,0,0,0,0,98,5557.92041016,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,97,5957.85400391,0,0,1,0,0,0
1,1,0,1,1,0,0,0,1,1,97,6257.85449219,0,0,1,0,0,0
0,0,1,0,1,0,0,1,1,2,97,5757.921875,0,0,0,0,2,0
0,0,1,0,1,0,0,0,0,0,97,5157.92578125,0,0,0,0,0,0
1,0,0,1,1,0,0,1,2,2,97,6055.74316406,0,0,0,2,2,0
0,0,1,0,1,0,1,1,1,2,97,5857.91992188,0,0,2,0,2,0
0,0,1,0,1,0,0,1,1,1,97,5457.92529297,0,0,0,0,2,0
0,0,1,0,1,0,1,1,1,1,97,5557.92041016,0,0,2,0,0,0
0,0,1,1,1,0,1,2,1,1,97,5857.92041016,0,0,2,0,0,0
1,0,0,1,1,0,0,0,1,1,97,5857.92041016,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,97,5557.91503906,0,0,1,0,0,0
0,0,0,1,1,0,1,1,1,1,97,5557.92041016,0,0,2,0,0,0
0,0,1,1,1,0,1,1,1,1,97,5857.92041016,0,0,2,0,0,0
0,1,1,0,1,0,1,1,0,0,97,5557.92041016,0,0,1,0,0,0
1,0,0,0,1,0,0,1,2,2,97,5755.74365234,0,0,0,2,2,0
0,1,0,1,1,0,0,0,1,1,97,5857.91503906,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,1,97,5557.92041016,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,2,97,6257.84960938,0,0,1,0,2,0
1,1,0,0,1,0,0,0,1,2,97,6155.44628906,0,0,1,0,2,0
0,1,1,0,1,0,1,1,1,1,97,5957.85400391,0,0,1,0,0,0
0,0,0,1,1,0,1,2,2,2,97,5857.92041016,0,0,2,0,0,0
1,0,1,0,1,0,0,0,0,1,97,5857.91992188,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,97,5157.92578125,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,97,5457.92529297,0,0,0,0,1,0
0,0,1,1,1,0,1,2,2,2,97,6157.91992188,0,0,2,0,1,0
1,0,1,0,1,0,0,1,1,2,97,6055.74072266,0,0,0,2,2,0
1,0,0,1,1,0,0,1,1,1,97,5857.92041016,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0,1,97,5857.91992188,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,97,5457.92529297,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,1,97,5857.92041016,0,0,1,0,0,0
0,1,0,0,1,0,1,1,2,2,97,5957.85009766,0,0,1,0,0,0
0,0,1,1,1,0,0,1,0,0,97,5457.92529297,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,97,5157.92578125,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,97,5957.85400391,0,0,1,0,0,0
0,0,0,1,1,0,0,1,1,1,97,5457.92529297,0,0,0,0,1,0
1,0,1,0,1,0,0,1,1,1,97,5857.92041016,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0,97,5857.92041016,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,97,5957.85009766,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0,1,97,6257.84960938,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,97,5557.91503906,0,0,1,0,0,0
0,0,1,1,1,0,1,0,0,0,97,5457.92529297,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,1,97,5957.85009766,0,0,1,0,0,0
0,0,0,1,1,0,0,0,1,1,97,5457.92529297,0,0,0,0,1,0
0,0,0,1,1,0,1,1,2,2,97,5857.92041016,0,0,2,0,0,0
0,1,0,1,1,0,1,0,0,0,97,5557.92041016,0,0,1,0,0,0
0,1,1,1,1,0,1,0,0,0,97,5857.92041016,0,0,1,0,0,0
0,1,0,0,1,0,1,1,1,2,97,5957.85009766,0,0,1,0,0,0
0,0,1,0,1,0,1,2,2,2,97,5857.92041016,0,0,2,0,0,0
0,1,1,1,1,0,1,1,1,1,97,6257.85400391,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,1,97,5557.92041016,0,0,0,0,0,0
1,0,0,0,1,0,0,1,1,1,97,5557.92041016,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,97,5557.92041016,0,0,0,0,0,0
0,0,0,1,1,0,0,1,2,2,97,5757.92480469,0,0,0,0,1,0
0,0,1,1,1,0,0,1,1,1,97,5757.92480469,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,1,97,5557.91503906,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,2,97,5755.48779297,0,0,0,0,2,0
0,1,1,1,1,0,1,1,0,0,97,5957.85400391,0,0,1,0,0,0
0,1,1,0,1,0,1,0,0,0,97,5557.92041016,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,2,97,5857.91503906,0,0,1,0,0,0
1,0,1,1,1,0,0,0,0,0,97,5857.92041016,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,97,6157.91992188,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,97,5157.92578125,0,0,0,0,0,0
1,0,0,1,1,0,0,1,0,0,97,5557.92041016,0,0,0,0,0,0
0,1,0,1,1,0,1,1,1,1,97,5957.85400391,0,0,1,0,0,0
0,1,0,1,1,0,1,1,2,2,97,6257.85400391,0,0,1,0,0,0
0,0,1,1,1,0,1,1,0,0,97,5557.92041016,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,97,5857.91503906,0,0,1,0,0,0
0,1,0,0,1,0,1,1,1,1,97,5557.92041016,0,0,1,0,0,0
0,1,1,1,1,0,0,0,0,0,97,5857.91503906,0,0,1,0,0,0
0,1,0,1,1,0,1,1,0,0,97,5557.92041016,0,0,1,0,0,0
1,0,1,0,1,0,0,1,0,0,97,5557.92041016,0,0,0,0,0,0
1,0,0,0,1,0,0,1,1,2,97,5755.74365234,0,0,0,2,2,0
1,0,0,1,1,0,0,0,0,0,97,5557.92041016,0,0,0,0,0,0
0,1,0,1,1,0,1,0,1,1,97,5857.92041016,0,0,1,0,0,0
1,1,1,1,1,0,0,0,0,0,97,6257.85449219,0,0,1,0,0,0
0,1,1,0,1,0,1,1,0,1,97,5957.85009766,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,0,97,5557.91503906,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,0,97,5557.92089844,0,0,1,0,0,0
1,1,0,1,1,0,0,0,1,1,96,6257.85400391,0,0,1,0,0,0
1,1,0,0,1,0,0,0,1,1,96,5957.84912109,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,96,5557.91503906,0,0,1,0,0,0
0,0,0,0,1,0,0,1,1,2,96,5457.92529297,0,0,0,0,2,0
0,0,0,0,1,0,0,1,1,1,96,5157.92578125,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,96,5557.92041016,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,96,5157.92578125,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,2,96,6151.95800781,0,0,1,0,2,0
0,0,0,1,1,0,0,1,0,0,96,5157.92578125,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,96,5457.92529297,0,0,0,0,1,0
1,0,0,1,1,0,0,1,2,2,96,6052.26074219,0,0,0,2,2,0
0,0,1,0,1,0,0,1,1,2,96,5757.921875,0,0,0,0,2,0
1,1,0,0,1,0,0,0,0,0,96,5557.92089844,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,1,96,5557.92041016,0,0,1,0,0,0
1,0,0,1,1,0,0,0,1,1,96,5857.92041016,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1,96,5557.92041016,0,0,0,0,0,0
0,0,0,0,1,0,1,1,1,1,96,5157.92578125,0,0,0,0,0,0
0,0,0,1,1,0,1,1,2,2,96,5857.92041016,0,0,2,0,0,0
0,0,1,0,1,0,1,0,0,1,96,5457.92529297,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,96,5757.92480469,0,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0,96,6257.85400391,0,0,1,0,0,0
0,1,0,1,1,0,1,0,1,1,96,5857.92041016,0,0,1,0,0,0
0,0,1,0,1,0,1,2,1,1,96,5557.92041016,0,0,2,0,0,0
1,0,1,1,1,0,0,1,1,1,96,6157.91992188,0,0,0,0,1,0
0,0,1,0,1,0,1,2,1,2,96,5857.91992188,0,0,2,0,2,0
0,0,1,0,1,0,0,1,0,1,96,5457.92529297,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,96,6257.85351562,0,0,1,0,0,0
0,0,0,1,1,0,1,1,0,0,96,5157.92578125,0,0,0,0,0,0
0,0,1,0,1,0,1,2,2,2,96,5857.92041016,0,0,2,0,0,0
0,0,0,1,1,0,1,2,1,1,96,5557.92041016,0,0,2,0,0,0
0,0,1,1,1,0,1,2,0,0,96,5557.92041016,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,96,5957.85351562,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,2,96,5751.99755859,0,0,0,0,2,0
1,0,0,0,1,0,0,1,1,2,96,5752.26123047,0,0,0,2,2,0
