$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
0,0,1,1,1,0,0,1,1,1,89,3998.84106445,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,89,4998.84033203,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,89,3998.84179688,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,89,4998.83837891,1,3,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,89,4998.83886719,1,3,1,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,89,2998.84179688,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,88,4998.84033203,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,88,3998.84179688,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,88,3998.84106445,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,88,4998.83056641,1,3,1,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,88,3998.83227539,1,3,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,88,4998.83105469,1,3,1,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,88,4998.83984375,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,88,2998.84179688,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,88,3998.84179688,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,87,4998.83984375,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,87,4998.84033203,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,87,3998.84179688,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,87,4998.7890625,1,3,1,0,1,0,0,0,0,0,0
