$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
0,0,1,0,1,0,0,1,1,2,97,5882.82128906,0,0,0,1,0,0
0,1,1,0,1,0,0,1,1,1,97,6382.94287109,0,0,1,2,0,0
1,0,1,1,1,0,0,0,1,1,97,6882.80273438,1,3,0,1,0,0
0,1,0,1,1,0,0,0,0,0,97,5957.91552734,0,0,0,0,0,0
1,0,0,1,1,0,0,0,1,1,97,6682.92480469,1,3,0,0,1,0
0,0,1,1,1,0,0,1,1,1,97,6282.94335938,0,0,0,2,1,0
0,0,1,1,1,0,1,2,1,2,97,6782.01367188,0,0,2,1,0,0
1,0,1,1,1,0,0,0,0,1,97,6582.80273438,1,3,0,1,0,0
0,0,0,1,1,0,0,0,1,1,97,5757.92480469,0,0,0,0,1,0
0,1,0,1,1,0,1,0,1,1,97,6682.92480469,0,0,2,0,1,0
1,0,1,0,1,0,0,0,1,1,97,6582.80273438,1,3,0,1,0,0
0,1,1,1,1,0,1,1,0,1,97,6782.91992188,0,0,2,2,0,0
0,0,0,1,1,0,0,0,0,0,97,5157.92578125,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,97,6682.92480469,1,3,0,0,1,0
1,1,0,0,1,0,0,0,0,2,97,5782.82177734,0,1,1,0,0,0
0,1,0,1,1,0,1,1,2,2,97,7082.67138672,0,0,1,2,1,0
0,1,1,0,1,0,0,0,0,1,97,5882.95263672,0,0,1,0,0,0
0,1,0,1,1,0,0,0,1,1,97,6282.94335938,0,0,0,0,1,0
1,1,0,1,1,0,0,0,1,1,97,7082.67138672,0,0,1,0,1,0
1,1,0,0,1,0,0,0,1,2,97,6082.82128906,0,1,1,0,2,0
1,0,0,0,1,0,0,0,1,2,97,5682.83984375,0,1,0,0,2,0
0,1,0,1,1,0,0,1,1,1,97,6482.82128906,0,0,0,2,0,0
0,1,1,1,1,0,0,1,1,1,97,6682.94238281,0,0,1,2,1,0
1,1,1,1,1,0,0,0,0,0,97,7082.91943359,1,3,1,0,0,0
1,0,1,0,1,0,0,1,1,1,97,6782.01367188,1,3,0,1,0,0
0,0,0,1,1,0,1,1,2,2,97,6682.92480469,0,0,2,2,1,0
1,0,0,1,1,0,0,1,2,2,97,6482.82958984,0,1,0,2,1,0
1,0,0,1,1,0,0,0,2,2,97,6282.83837891,0,1,0,0,1,0
0,0,1,1,1,0,0,2,2,2,97,6682.03173828,0,0,0,1,0,0
0,1,0,1,1,0,1,0,2,2,97,6882.68066406,0,0,1,0,1,0
0,1,0,1,1,0,1,1,0,1,97,6582.80273438,0,0,2,2,0,0
1,0,1,0,1,0,0,0,0,0,97,6382.92529297,1,3,0,0,0,0
1,0,1,0,1,0,0,1,0,1,97,6482.01367188,1,3,0,1,0,0
1,0,1,0,1,0,0,1,0,2,97,5782.70751953,0,1,0,1,0,0
0,0,1,1,1,0,1,0,1,1,97,6482.93408203,0,0,2,0,1,0
0,1,1,0,1,0,1,1,1,1,97,6782.91992188,0,0,2,2,0,0
0,0,0,1,1,0,0,1,1,1,97,5957.91552734,0,0,0,2,0,0
0,1,0,0,1,0,0,0,1,1,97,5982.94384766,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,97,6882.80273438,1,3,0,0,0,0
1,0,0,1,1,0,0,1,0,1,97,6582.80273438,1,3,0,2,0,0
1,0,1,1,1,0,0,1,1,1,97,7082.01367188,1,3,0,1,0,0
0,1,1,1,1,0,1,1,1,1,97,7082.91943359,0,0,2,2,0,0
0,1,0,0,1,0,1,1,1,1,97,6582.80273438,0,0,2,2,0,0
1,1,0,0,1,0,0,0,1,1,97,6782.671875,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,2,97,5882.93505859,0,0,1,0,2,0
1,0,0,0,1,0,0,0,0,0,97,6057.89697266,1,3,0,0,0,0
0,0,1,1,1,0,1,1,1,1,97,6682.92480469,0,0,2,2,1,0
1,0,1,0,1,0,0,1,1,2,97,6082.70751953,0,1,0,1,0,0
0,1,0,1,1,0,1,1,1,2,97,6782.671875,0,0,1,2,0,0
0,0,0,1,1,0,1,2,2,2,97,6882.80273438,0,0,2,2,0,0
0,1,0,1,1,0,1,1,1,1,97,6882.80273438,0,0,2,2,0,0
0,1,0,0,1,0,1,1,1,2,97,6482.671875,0,0,1,2,0,0
0,1,1,1,1,0,1,0,1,1,97,6882.93164062,0,0,2,0,1,0
1,0,0,0,1,0,0,1,2,2,97,6182.83007812,0,1,0,2,0,0
0,0,0,1,1,0,1,1,1,1,97,6357.89697266,0,0,2,2,0,0
1,0,1,1,1,0,0,1,0,1,97,6782.01367188,1,3,0,1,0,0
0,1,1,1,1,0,0,1,0,1,97,6382.94287109,0,0,1,2,0,0
0,1,0,0,1,0,1,1,2,2,97,6782.671875,0,0,1,2,0,0
0,0,1,1,1,0,0,1,0,1,97,5982.94384766,0,0,0,2,0,0
0,1,1,0,1,0,0,0,0,0,97,5982.94384766,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,97,5757.92480469,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,0,97,6582.80273438,1,3,0,0,0,0
1,0,0,1,1,0,0,0,0,0,97,6357.89697266,1,3,0,0,0,0
0,1,0,0,1,0,0,0,0,1,97,5682.94384766,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,1,97,6082.95214844,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,0,97,6782.91943359,1,3,1,0,0,0
1,0,0,1,1,0,0,1,1,1,97,6882.80273438,1,3,0,2,0,0
0,1,1,1,1,0,0,0,1,1,97,6482.95166016,0,0,1,0,1,0
0,1,1,0,1,0,1,1,0,1,97,6482.91992188,0,0,2,2,0,0
1,0,1,0,1,0,0,0,0,1,97,6282.80273438,1,3,0,1,0,0
0,1,1,0,1,0,1,0,1,1,97,6582.93212891,0,0,2,0,0,0
0,1,1,1,1,0,0,0,0,0,97,6282.94335938,0,0,0,0,1,0
0,0,1,1,1,0,1,1,0,1,97,6382.92529297,0,0,2,2,0,0
0,1,1,0,1,0,1,1,1,2,97,6682.54931641,0,0,1,1,0,0
1,0,1,0,1,0,0,0,1,2,97,5882.83007812,0,1,0,1,0,0
1,1,1,0,1,0,0,0,0,1,97,6682.54931641,0,0,1,1,0,0
1,0,0,0,1,0,0,1,1,1,97,6582.80273438,1,3,0,2,0,0
0,1,1,0,1,0,1,1,0,2,97,6382.54931641,0,0,1,1,0,0
1,0,0,0,1,0,0,0,0,1,97,6082.92529297,1,3,0,0,0,0
0,1,1,0,1,0,1,0,1,2,97,6482.671875,0,0,1,1,0,0
0,0,1,1,1,0,1,2,2,2,97,7082.01367188,0,0,2,1,0,0
1,0,0,0,1,0,0,1,1,2,97,5882.83007812,0,1,0,2,0,0
0,1,0,1,1,0,0,0,0,1,97,5982.94384766,0,0,0,0,0,0
0,1,1,1,1,0,1,0,0,1,97,6582.93212891,0,0,2,0,0,0
0,0,1,0,1,0,0,0,0,0,97,5457.92529297,0,0,0,0,0,0
0,1,0,1,1,0,1,0,2,2,96,6882.67822266,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,2,96,5582.93554688,0,0,1,0,0,0
0,1,1,1,1,0,0,1,0,1,96,6382.94287109,0,0,1,2,0,0
0,1,1,0,1,0,0,1,1,2,96,6282.80273438,0,0,1,1,0,0
0,0,1,0,1,0,1,2,1,2,96,6482.01367188,0,0,2,1,0,0
0,0,0,0,1,0,0,0,1,2,96,5482.95361328,0,0,0,0,2,0
1,0,1,1,1,0,0,1,1,1,96,7082.01318359,1,3,0,1,0,0
1,0,1,0,1,0,0,0,1,2,96,5882.77832031,0,1,0,1,0,0
0,1,1,0,1,0,1,1,1,2,96,6682.546875,0,0,1,1,0,0
1,0,1,0,1,0,0,1,1,1,96,6782.01318359,1,3,0,1,0,0
0,0,1,1,1,0,0,1,0,1,96,5982.94384766,0,0,0,2,0,0
0,0,1,0,1,0,1,0,1,1,96,6182.93457031,0,0,2,0,2,0
0,0,0,1,1,0,0,1,1,2,96,5982.94384766,0,0,0,2,0,0
0,0,0,1,1,0,1,1,1,2,96,6382.92529297,0,0,2,2,0,0
0,1,0,0,1,0,0,0,0,1,96,5682.94384766,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,2,96,6082.76904297,0,1,1,0,2,0
0,0,1,0,1,0,0,0,0,1,96,5482.95361328,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,96,6482.66943359,0,0,1,0,0,0
0,0,1,1,1,0,1,2,1,2,96,6782.01367188,0,0,2,1,0,0
1,0,0,0,1,0,0,1,1,1,96,6582.80224609,1,3,0,2,0,0
1,0,1,0,1,0,0,0,0,0,96,6382.92480469,1,3,0,0,0,0
0,1,1,0,1,0,0,1,0,2,96,5982.80273438,0,0,1,1,0,0
1,0,1,0,1,0,0,1,0,1,96,6482.01318359,1,3,0,1,0,0
0,0,1,1,1,0,1,1,1,2,96,6582.80273438,0,0,2,1,0,0
0,0,1,1,1,0,1,0,1,1,96,6482.93408203,0,0,2,0,1,0
0,0,0,1,1,0,1,2,1,2,96,6582.80273438,0,0,2,2,0,0
0,1,1,0,1,0,0,0,1,2,96,6082.92529297,0,0,1,1,0,0
0,1,1,1,1,0,1,1,1,1,96,7082.91943359,0,0,2,2,0,0
0,0,1,0,1,0,0,0,1,1,96,5782.953125,0,0,0,0,2,0
0,0,1,1,1,0,1,1,1,1,96,6682.92480469,0,0,2,2,1,0
0,0,0,1,1,0,0,1,0,1,96,5657.91552734,0,0,0,2,0,0
0,1,0,1,1,0,0,0,2,2,96,6482.93408203,0,0,1,0,1,0
0,1,1,0,1,0,0,1,0,1,96,6082.94287109,0,0,1,2,0,0
0,0,0,1,1,0,1,2,2,2,96,6882.80273438,0,0,2,2,0,0
0,0,0,0,1,0,0,0,1,1,96,5457.92529297,0,0,0,0,2,0
0,0,1,0,1,0,0,0,0,0,96,5457.92529297,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,1,96,6782.01318359,1,3,0,1,0,0
